LATITUDE,LONGITUDE,HOUR,DAYOFWEEK,MONTH,BLOCK CODE,LOCATION CODE, PRIMARY DESCRIPTION
41.91483107,-87.70038511,0,0,1,7864,116,ARSON
41.77927495,-87.67682182,0,0,1,9164,17,ARSON
41.77417959,-87.61066144,0,0,1,22988,17,ARSON
41.80819077,-87.69966063,18,4,5,12550,120,ARSON
41.89762176,-87.76155424,0,0,1,19986,0,ARSON
41.68221311,-87.62402835,4,0,7,28208,99,ARSON
41.7573424,-87.63446447,0,0,1,24463,15,ARSON
41.83768686,-87.65601264,3,3,7,12855,116,ARSON
41.8889172,-87.71856327,0,0,1,2002,126,ARSON
41.99238958,-87.70919252,15,0,10,21675,112,ARSON
41.70982677,-87.62718216,0,0,1,27123,99,ARSON
41.9820403,-87.76836145,0,0,1,20002,17,ARSON
41.79705801,-87.66588036,0,0,1,19519,120,ARSON
41.73709431,-87.57299818,0,0,1,8924,110,ARSON
41.9815944,-87.77200286,20,4,2,20022,15,ARSON
41.74530345,-87.6001644,0,0,1,25382,17,ARSON
41.87095486,-87.70665595,0,0,1,13350,17,ARSON
41.83606924,-87.7182253,1,3,5,12857,15,ARSON
41.91015342,-87.75690525,19,5,6,6982,100,ARSON
41.73695367,-87.63877816,16,5,9,25929,99,ARSON
41.91733403,-87.71248901,0,0,1,13921,101,ARSON
41.79414727,-87.75623328,0,0,1,19839,116,ARSON
42.00525583,-87.69007432,16,1,1,23248,47,ARSON
41.67378937,-87.63455646,0,0,1,28398,126,ARSON
41.74238647,-87.55189944,0,0,1,25604,99,ARSON
41.79100362,-87.70471072,3,0,9,20461,61,ARSON
41.88654207,-87.75528866,19,0,6,1554,103,ARSON
41.95945244,-87.74749749,0,0,1,16456,103,ARSON
41.76748365,-87.61769767,0,0,1,1451,17,ARSON
41.87898756,-87.69623337,0,0,1,749,94,ARSON
41.76716027,-87.63516437,13,0,12,2173,17,ARSON
41.81540213,-87.63789087,23,0,7,2156,102,ARSON
41.8782847,-87.74933734,2,4,6,1214,17,ARSON
41.94752974,-87.68099823,0,0,1,14396,17,ARSON
41.87661707,-87.75821281,0,0,1,19639,17,ARSON
41.75761443,-87.58611527,0,0,1,24464,113,ARSON
41.74692801,-87.71086848,0,0,1,14248,116,ARSON
41.77447374,-87.60336269,3,1,4,22921,102,ARSON
41.85501685,-87.72515018,0,1,1,15817,116,ARSON
41.83640409,-87.7182331,22,4,9,12857,15,ARSON
41.83615294,-87.72311238,0,0,1,12829,100,ARSON
41.86964176,-87.71552442,10,3,8,4140,116,ARSON
41.90350976,-87.71780617,12,4,6,5265,110,ARSON
41.8768879,-87.69617711,0,0,1,1599,101,ARSON
41.76603554,-87.67235284,2,6,9,23675,99,ARSON
41.91687834,-87.75014666,0,0,1,18301,116,ARSON
41.76748171,-87.61782599,0,0,1,1451,15,ARSON
41.74837539,-87.63423925,6,0,7,25173,99,ARSON
41.85600901,-87.6456368,0,0,1,3382,116,ARSON
41.91693076,-87.74643156,2,2,4,18000,117,ARSON
41.76644693,-87.62979467,0,0,1,23673,17,ARSON
41.92462458,-87.80261261,0,0,1,10183,99,ARSON
41.82837691,-87.68916234,0,0,1,10678,100,ARSON
41.64461219,-87.60159609,3,5,7,3544,94,ARSON
41.74296655,-87.587989,19,0,12,25482,99,ARSON
41.77168605,-87.70212061,0,0,1,12990,17,ARSON
41.78875682,-87.74047372,0,1,12,258,2,ARSON
41.7569258,-87.67210914,0,0,1,24473,102,ARSON
41.84363913,-87.7123285,0,0,1,11018,15,ARSON
41.76794719,-87.6626888,0,0,1,23462,99,ARSON
41.76476747,-87.62489025,16,0,3,23839,103,ARSON
41.87255653,-87.72381267,0,0,1,15623,15,ARSON
41.67533527,-87.61951004,0,0,1,537,116,ARSON
41.9310171,-87.68039476,6,2,12,11292,116,ARSON
41.93048403,-87.75717427,0,0,1,19344,100,ARSON
41.80134014,-87.61773185,0,0,1,18791,94,ARSON
41.88218047,-87.76888212,23,6,7,20846,35,ARSON
41.84884597,-87.62924489,21,5,6,10226,116,ARSON
41.75313431,-87.66471942,0,0,1,24708,100,ARSON
41.90478832,-87.72393232,0,0,1,5710,116,ARSON
41.8827793,-87.70756498,0,0,1,13363,99,ARSON
41.74755465,-87.54917633,21,0,2,25222,17,ARSON
41.68982216,-87.62654059,21,1,9,835,99,ARSON
41.96876382,-87.68866183,0,0,1,17840,62,ARSON
41.70255476,-87.62458117,0,0,1,27424,99,ARSON
41.72599931,-87.58431671,17,6,3,6924,116,ARSON
41.7594265,-87.63330565,0,0,1,24282,17,ARSON
41.77749188,-87.79227144,1,1,4,23353,90,ARSON
41.88793794,-87.74163257,9,5,7,17480,116,ARSON
41.78046674,-87.72325932,23,3,12,15846,116,ARSON
41.69317684,-87.5282494,1,0,1,27863,99,ARSON
41.77942058,-87.61318736,0,0,1,22284,17,ARSON
41.77876127,-87.65083664,0,0,1,22271,99,ARSON
41.94969119,-87.75342818,0,0,1,18641,17,ARSON
41.84911039,-87.71370334,0,0,1,9851,100,ARSON
41.7989184,-87.65135629,0,0,1,19133,120,ARSON
41.76438802,-87.64006585,4,6,10,23802,99,ARSON
41.77286343,-87.58384871,9,4,6,23115,116,ARSON
41.80613219,-87.66003864,0,0,1,17956,15,ARSON
41.83186788,-87.62178043,0,0,1,13825,94,ARSON
41.90025622,-87.69046437,16,3,11,10748,116,ARSON
41.86200049,-87.71528962,0,2,11,6172,116,ARSON
41.83524894,-87.66568186,0,0,1,13164,116,ARSON
41.86169934,-87.72260523,22,3,6,6217,126,ARSON
41.67975493,-87.63040295,23,6,1,1707,116,ARSON
41.78501086,-87.63274141,0,0,1,21554,116,ARSON
41.75761443,-87.58611527,0,0,1,24464,72,ARSON
41.81260744,-87.62292538,11,6,12,17143,89,ARSON
